round,model,train_roc_auc,cv_mean_roc_auc,cv_std_roc_auc,test_roc_auc,overfit_gap,eod_tpr,eod_fpr,demographic_parity_difference
Round A - full features,Logistic regression,0.8564091368543966,0.8559873213016994,0.004835876448462358,0.86214211746932,0.00042181555269715787,0.2653779436173266,0.31484980379891137,0.35473974580422285
Round A - full features,XGBoost,0.9675477148207297,0.832345383491252,0.0044486473737597905,0.8390776496871769,0.13520233132947768,0.13667762462475158,0.14983263423742524,0.18592645001208374
Round A - full features,PyTorch MLP,0.8662396652709159,0.8619682227979831,0.005844096452639809,0.8656805387852036,0.004271442472932763,0.2287067427088143,0.30758674565156163,0.34562840531861466
Round B - shared features,Logistic regression,0.8495119559408457,0.8492777503249973,0.003986236561427,0.8545155240136842,0.00023420561584841515,0.2968514058229649,0.3385846383463971,0.3767159028353454
Round B - shared features,XGBoost,0.9466648392525296,0.8281659831533934,0.0036819320683093974,0.8374742194344464,0.11849885609913624,0.18313137237773147,0.15664093371153448,0.19838767068727658
Round B - shared features,PyTorch MLP,0.8529614830101785,0.8522887989622255,0.004819928280253002,0.8590964809800823,0.0006726840479529539,0.22052014825722877,0.30854775760841147,0.345636332479176
